Attribute,Description
Willing to travel,Are you willing to regularly travel for work?
Willing to relocate,Are you interested in relocating for the right opportunity?
Willing to work on commission,Are you comfortable with the idea of being compensated on commission for sales?
Part time,Are you looking for a part time opportunity at this time?
Full time,Are you looking to work 40+ hours per week?
Remote,"Would you prefer a job where you can work from home, or wherever else you choose?"
Competitive environment,Do you thrive in a competitive environment?
Collaborative environment,Do you prefer a collaborative environment?
